2023-07-08 16:56:38,176 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2023-07-08 16:56:38,210 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2023-07-08 16:56:38,211 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2023-07-08 16:56:38,211 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2023-07-08 16:56:38,212 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2023-07-08 16:56:38,213 INFO  SwAddin.cs: 197 - Setting up callbacks
2023-07-08 16:56:38,213 INFO  SwAddin.cs: 201 - Setting up command manager
2023-07-08 16:56:38,214 INFO  SwAddin.cs: 204 - Adding command manager
2023-07-08 16:56:38,216 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2023-07-08 16:56:38,216 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2023-07-08 16:56:38,217 INFO  SwAddin.cs: 210 - Adding event handlers
2023-07-08 16:56:38,219 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2023-07-08 17:32:43,011 INFO  SwAddin.cs: 294 - Assembly export called for file Assem1
2023-07-08 17:32:43,013 INFO  SwAddin.cs: 299 - Save is required
2023-07-08 17:32:43,013 INFO  SwAddin.cs: 313 - Saving assembly
2023-07-08 17:32:43,014 INFO  SwAddin.cs: 316 - Opening property manager
2023-07-08 17:32:43,023 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Assem1
2023-07-08 17:32:43,027 INFO  ExportHelperExtension.cs: 1136 - Found 30 in Assem1
2023-07-08 17:32:43,028 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Assem1
2023-07-08 17:32:43,028 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-07-08 17:32:43,029 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2023-07-08 17:32:43,029 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from belt_base-1
2023-07-08 17:32:43,030 INFO  ExportHelperExtension.cs: 1136 - Found 25 in belt_base-1
2023-07-08 17:32:43,030 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in belt_base-1
2023-07-08 17:32:43,030 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from belt_body-1
2023-07-08 17:32:43,030 INFO  ExportHelperExtension.cs: 1136 - Found 29 in belt_body-1
2023-07-08 17:32:43,030 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in belt_body-1
2023-07-08 17:32:43,030 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from belt_moving-1
2023-07-08 17:32:43,031 INFO  ExportHelperExtension.cs: 1136 - Found 25 in belt_moving-1
2023-07-08 17:32:43,031 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in belt_moving-1
2023-07-08 17:32:43,031 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Assem1
2023-07-08 17:32:43,032 INFO  ExportHelperExtension.cs: 1136 - Found 30 in Assem1
